,inputs.1,inputs.2,inputs.3,inputs.7,inputs.8,scale.1,scale.2,rates.k1,rates.k2,rates.k3,irf.center,irf.width,area.1
0,-0.6931471805599453,-1.3823023398503531,-1.3783261914707137,-1.5606477482646683,-1.5141277326297755,1.0,1.2,-1.6144504542576446,-0.6931471805599453,0.09531017980432493,0.5,0.1,1.0
1,-0.6931471805599453,-1.3823023398503531,-1.3783261914707137,-1.5606477482646683,-1.5141277326297755,1.0,1.2,-1.6144504542576446,-0.6931471805599453,0.09531017980432493,0.5,0.1,1.0
2,-0.6931471805599453,-1.3823023604482632,-1.3783261914707137,-1.5606477482646683,-1.5141277326297755,1.0,1.2,-1.6144504542576446,-0.6931471805599453,0.09531017980432493,0.5,0.1,1.0
3,-0.6931471805599453,-1.3823023398503531,-1.3783262120093744,-1.5606477482646683,-1.5141277326297755,1.0,1.2,-1.6144504542576446,-0.6931471805599453,0.09531017980432493,0.5,0.1,1.0
4,-0.6931471805599453,-1.3823023398503531,-1.3783261914707137,-1.560647771520132,-1.5141277326297755,1.0,1.2,-1.6144504542576446,-0.6931471805599453,0.09531017980432493,0.5,0.1,1.0
5,-0.6931471805599453,-1.3823023398503531,-1.3783261914707137,-1.5606477482646683,-1.514127755192037,1.0,1.2,-1.6144504542576446,-0.6931471805599453,0.09531017980432493,0.5,0.1,1.0
6,-0.6931471805599453,-1.3823023398503531,-1.3783261914707137,-1.5606477482646683,-1.5141277326297755,1.0,1.2000000178813934,-1.6144504542576446,-0.6931471805599453,0.09531017980432493,0.5,0.1,1.0
7,-0.6931471805599453,-1.3823023398503531,-1.3783261914707137,-1.5606477482646683,-1.5141277326297755,1.0,1.2,-1.614450478314831,-0.6931471805599453,0.09531017980432493,0.5,0.1,1.0
8,-0.6931471805599453,-1.3823023398503531,-1.3783261914707137,-1.5606477482646683,-1.5141277326297755,1.0,1.2,-1.6144504542576446,-0.6931471954611065,0.09531017980432493,0.5,0.1,1.0
9,-0.6931471805599453,-1.3823023398503531,-1.3783261914707137,-1.5606477482646683,-1.5141277326297755,1.0,1.2,-1.6144504542576446,-0.6931471805599453,0.09531019470548614,0.5,0.1,1.0
10,-0.6931471805599453,-1.3823023398503531,-1.3783261914707137,-1.5606477482646683,-1.5141277326297755,1.0,1.2,-1.6144504542576446,-0.6931471805599453,0.09531017980432493,0.5000000149011612,0.1,1.0
11,-0.6931471805599453,-1.3823023398503531,-1.3783261914707137,-1.5606477482646683,-1.5141277326297755,1.0,1.2,-1.6144504542576446,-0.6931471805599453,0.09531017980432493,0.5,0.1000000149011612,1.0
12,-0.6931471805599453,0.31919615812134156,0.5560930585791575,-0.3845731920530709,-0.1028792585756784,1.0,1.2169434064689135,-1.8045571992821245,1.1099529540801893,-0.06972576120264738,0.41403334533242003,0.12570758294619022,1.0
13,-0.6931471805599453,0.31919617302250286,0.5560930585791575,-0.3845731920530709,-0.1028792585756784,1.0,1.2169434064689135,-1.8045571992821245,1.1099529540801893,-0.06972576120264738,0.41403334533242003,0.12570758294619022,1.0
14,-0.6931471805599453,0.31919615812134156,0.5560930734803187,-0.3845731920530709,-0.1028792585756784,1.0,1.2169434064689135,-1.8045571992821245,1.1099529540801893,-0.06972576120264738,0.41403334533242003,0.12570758294619022,1.0
15,-0.6931471805599453,0.31919615812134156,0.5560930585791575,-0.38457320695423197,-0.1028792585756784,1.0,1.2169434064689135,-1.8045571992821245,1.1099529540801893,-0.06972576120264738,0.41403334533242003,0.12570758294619022,1.0
16,-0.6931471805599453,0.31919615812134156,0.5560930585791575,-0.3845731920530709,-0.10287927347683956,1.0,1.2169434064689135,-1.8045571992821245,1.1099529540801893,-0.06972576120264738,0.41403334533242003,0.12570758294619022,1.0
17,-0.6931471805599453,0.31919615812134156,0.5560930585791575,-0.3845731920530709,-0.1028792585756784,1.0,1.2169434246027835,-1.8045571992821245,1.1099529540801893,-0.06972576120264738,0.41403334533242003,0.12570758294619022,1.0
18,-0.6931471805599453,0.31919615812134156,0.5560930585791575,-0.3845731920530709,-0.1028792585756784,1.0,1.2169434064689135,-1.8045572261721223,1.1099529540801893,-0.06972576120264738,0.41403334533242003,0.12570758294619022,1.0
19,-0.6931471805599453,0.31919615812134156,0.5560930585791575,-0.3845731920530709,-0.1028792585756784,1.0,1.2169434064689135,-1.8045571992821245,1.1099529706197773,-0.06972576120264738,0.41403334533242003,0.12570758294619022,1.0
20,-0.6931471805599453,0.31919615812134156,0.5560930585791575,-0.3845731920530709,-0.1028792585756784,1.0,1.2169434064689135,-1.8045571992821245,1.1099529540801893,-0.06972577610380856,0.41403334533242003,0.12570758294619022,1.0
21,-0.6931471805599453,0.31919615812134156,0.5560930585791575,-0.3845731920530709,-0.1028792585756784,1.0,1.2169434064689135,-1.8045571992821245,1.1099529540801893,-0.06972576120264738,0.4140333602335812,0.12570758294619022,1.0
22,-0.6931471805599453,0.31919615812134156,0.5560930585791575,-0.3845731920530709,-0.1028792585756784,1.0,1.2169434064689135,-1.8045571992821245,1.1099529540801893,-0.06972576120264738,0.41403334533242003,0.12570759784735142,1.0
23,-0.6931471805599453,-1.948340348866104,-0.10880173620741534,-2.910407023523443,-0.95091933783696,1.0,1.0898770511005405,-1.189211819622486,1.4589123978806398,-0.4319609851116351,0.39761485590533674,0.06352626902950975,1.0
24,-0.6931471805599453,-1.9483403778986375,-0.10880173620741534,-2.910407023523443,-0.95091933783696,1.0,1.0898770511005405,-1.189211819622486,1.4589123978806398,-0.4319609851116351,0.39761485590533674,0.06352626902950975,1.0
