,inputs.s1,inputs.s2,irf.center,irf.width,rates.k1,rates.k2
0,0.5,0.5,0.40000209673793236,0.05997848875418838,0.2500311557936515,0.9999470795229095
1,0.5,0.5,0.40000209673793236,0.05997848875418838,0.2500311557936515,0.9999470795229095
2,0.5,0.5,0.40000211163909355,0.05997848875418838,0.2500311557936515,0.9999470795229095
3,0.5,0.5,0.40000209673793236,0.059978503655349576,0.2500311557936515,0.9999470795229095
4,0.5,0.5,0.40000209673793236,0.05997848875418838,0.2500311706948127,0.9999470795229095
5,0.5,0.5,0.40000209673793236,0.05997848875418838,0.2500311557936515,0.9999470944240707
6,0.5,0.5,0.4000020967378384,0.05997848875409771,0.2500311557952002,0.9999470795123746
7,0.5,0.5,0.40000211163899957,0.05997848875409771,0.2500311557952002,0.9999470795123746
8,0.5,0.5,0.4000020967378384,0.059978503655258905,0.2500311557952002,0.9999470795123746
9,0.5,0.5,0.4000020967378384,0.05997848875409771,0.2500311706963614,0.9999470795123746
10,0.5,0.5,0.4000020967378384,0.05997848875409771,0.2500311557952002,0.9999470944135358
11,0.5,0.5,0.4000020967378384,0.05997848875409771,0.2500311557952002,0.9999470795123746
