iteration,input.1,input.0,irf.common_dispcenter,irf.data1_disp1,irf.data1_disp2,irf.center1,irf.width1,irf.center2,irf.width2,rates.kocfast,rates.kocslow,rates.kcocfast,rates.kcocslow,rates.k21,rates.k3total,rates.Tyield,rates.k33,rates.k43,rates.k44,mc_scale.1,mc_scale.2,rel.r1
0.0,1.0,0.0,550.0,-0.840490937,-0.354524136,1.21,0.05053,0.69,0.062,-1.2039728043259361,-3.2188758248682006,-0.5108256237659907,-2.5257286443082556,1.6094379124341003,-3.9633162998156966,-1.2039728043259361,-4.319991243754429,-5.1672891041416324,-11.512925464970229,0.08999999999999997,0.91,1.0
0.0,1.0,0.0,550.0,-0.840490937,-0.354524136,1.21,0.05053,0.69,0.062,-1.2039728043259361,-3.2188758248682006,-0.5108256237659907,-2.525728644308255,1.6094379124341003,-3.9633162998156966,-1.2039728043259361,-4.319991243754429,-5.1672891041416324,-11.512925464970229,0.08999999999999997,0.91,1.0
0.0,1.0,0.0,550.0,-0.840490937,-0.354524136,1.210000018030405,0.05053,0.69,0.062,-1.2039728043259361,-3.2188758248682006,-0.5108256237659907,-2.525728644308255,1.6094379124341003,-3.9633162998156966,-1.2039728043259361,-4.319991243754429,-5.1672891041416324,-11.512925464970229,0.08999999999999997,0.91,1.0
0.0,1.0,0.0,550.0,-0.840490937,-0.354524136,1.21,0.05053001490116119,0.69,0.062,-1.2039728043259361,-3.2188758248682006,-0.5108256237659907,-2.525728644308255,1.6094379124341003,-3.9633162998156966,-1.2039728043259361,-4.319991243754429,-5.1672891041416324,-11.512925464970229,0.08999999999999997,0.91,1.0
0.0,1.0,0.0,550.0,-0.840490937,-0.354524136,1.21,0.05053,0.6900000149011611,0.062,-1.2039728043259361,-3.2188758248682006,-0.5108256237659907,-2.525728644308255,1.6094379124341003,-3.9633162998156966,-1.2039728043259361,-4.319991243754429,-5.1672891041416324,-11.512925464970229,0.08999999999999997,0.91,1.0
0.0,1.0,0.0,550.0,-0.840490937,-0.354524136,1.21,0.05053,0.69,0.06200001490116119,-1.2039728043259361,-3.2188758248682006,-0.5108256237659907,-2.525728644308255,1.6094379124341003,-3.9633162998156966,-1.2039728043259361,-4.319991243754429,-5.1672891041416324,-11.512925464970229,0.08999999999999997,0.91,1.0
0.0,1.0,0.0,550.0,-0.840490937,-0.354524136,1.21,0.05053,0.69,0.062,-1.203972822266529,-3.2188758248682006,-0.5108256417065836,-2.525728644308255,1.6094379124341003,-3.9633162998156966,-1.2039728043259361,-4.319991243754429,-5.1672891041416324,-11.512925464970229,0.08999999999999997,0.91,1.0
0.0,1.0,0.0,550.0,-0.840490937,-0.354524136,1.21,0.05053,0.69,0.062,-1.2039728043259361,-3.218875872833188,-0.5108256237659907,-2.5257286922732427,1.6094379124341003,-3.9633162998156966,-1.2039728043259361,-4.319991243754429,-5.1672891041416324,-11.512925464970229,0.08999999999999997,0.91,1.0
0.0,1.0,0.0,550.0,-0.840490937,-0.354524136,1.21,0.05053,0.69,0.062,-1.2039728043259361,-3.2188758248682006,-0.5108256237659907,-2.525728644308255,1.609437936416594,-3.9633162998156966,-1.2039728043259361,-4.319991243754429,-5.1672891041416324,-11.512925464970229,0.08999999999999997,0.91,1.0
0.0,1.0,0.0,550.0,-0.840490937,-0.354524136,1.21,0.05053,0.69,0.062,-1.2039728043259361,-3.2188758248682006,-0.5108256237659907,-2.525728644308255,1.6094379124341003,-3.9633163588737115,-1.2039728043259361,-4.3199913028124435,-5.167289163199648,-11.512925464970229,0.08999999999999997,0.91,1.0
