iteration,nfev,cost,cost_reduction,step_norm,optimality
0,1,5058.9,,,3560.0
1,2,4743.1,316.0,0.863,636.0
2,3,4594.2,149.0,0.692,551.0
3,4,4502.6,91.5,0.692,340.0
4,5,4469.1,33.5,0.694,202.0
5,7,4467.2,1.94,0.592,255.0
6,9,4464.1,3.04,0.148,184.0
7,10,4463.7,0.418,0.296,283.0
8,11,4463.1,0.623,0.296,362.0
