label	value	min	max	vary	non-negative	stderr
input.1	1.0	-inf	inf	False	False	0
input.0	0.0	-inf	inf	False	False	0
irf.center	-83.85334488660384	-inf	inf	True	False	0.002962092343741771
irf.width	1.6098589519461604	-inf	inf	True	False	0.0030583857214188433
irf.backsweep	13200.0	-inf	inf	False	False	0
kinetic.1	0.22498150046990703	-inf	inf	True	True	0.006503035309396932
kinetic.2	0.06806786274824697	-inf	inf	True	True	0.007741271199759599
kinetic.3	0.02122510243704166	-inf	inf	True	True	0.002458973961317707
kinetic.4	0.0001596784322445254	-inf	inf	True	True	0.006180947396337918
