iteration,inputs.s1,inputs.s2,irf.center,irf.width,rates.k1,rates.k2
0.0,0.5,0.5,0.4,0.05,0.2,1.1
0.0,0.5,0.5,0.4,0.05,0.2,1.1
0.0,0.5,0.5,0.4000000149011612,0.05,0.2,1.1
0.0,0.5,0.5,0.4,0.0500000149011612,0.2,1.1
0.0,0.5,0.5,0.4,0.05,0.2000000149011612,1.1
0.0,0.5,0.5,0.4,0.05,0.2,1.1000000163912773
0.0,0.5,0.5,0.39983712334182897,0.059039966984263864,0.24606783177101726,1.0003913287127317
0.0,0.5,0.5,0.39983713824299016,0.059039966984263864,0.24606783177101726,1.0003913287127317
0.0,0.5,0.5,0.39983712334182897,0.05903998188542506,0.24606783177101726,1.0003913287127317
0.0,0.5,0.5,0.39983712334182897,0.059039966984263864,0.24606784667217846,1.0003913287127317
0.0,0.5,0.5,0.39983712334182897,0.059039966984263864,0.24606783177101726,1.0003913436197243
1.0,0.5,0.5,0.39999975527008164,0.05997333048693303,0.25002433914568384,0.999909268381924
1.0,0.5,0.5,0.39999977017124283,0.05997333048693303,0.25002433914568384,0.999909268381924
1.0,0.5,0.5,0.39999975527008164,0.05997334538809422,0.25002433914568384,0.999909268381924
1.0,0.5,0.5,0.39999975527008164,0.05997333048693303,0.25002435404684503,0.999909268381924
1.0,0.5,0.5,0.39999975527008164,0.05997333048693303,0.25002433914568384,0.9999092832830851
2.0,0.5,0.5,0.40000209699178907,0.059978489021331294,0.25003115442743157,0.999947076909471
2.0,0.5,0.5,0.40000211189295026,0.059978489021331294,0.25003115442743157,0.999947076909471
2.0,0.5,0.5,0.40000209699178907,0.05997850392249249,0.25003115442743157,0.999947076909471
2.0,0.5,0.5,0.40000209699178907,0.059978489021331294,0.25003116932859276,0.999947076909471
2.0,0.5,0.5,0.40000209699178907,0.059978489021331294,0.25003115442743157,0.9999470918106322
3.0,0.5,0.5,0.40000209673807896,0.05997848875450508,0.2500311557910577,0.9999470795160799
3.0,0.5,0.5,0.40000211163924015,0.05997848875450508,0.2500311557910577,0.9999470795160799
3.0,0.5,0.5,0.40000209673807896,0.059978503655666274,0.2500311557910577,0.9999470795160799
3.0,0.5,0.5,0.40000209673807896,0.05997848875450508,0.2500311706922189,0.9999470795160799
3.0,0.5,0.5,0.40000209673807896,0.05997848875450508,0.2500311557910577,0.9999470944172411
4.0,0.5,0.5,0.40000209673807896,0.05997848875450508,0.2500311557910577,0.9999470795160799
