iteration,nfev,cost,cost_reduction,step_norm,optimality
0,1,9829.0,,,685000.0
1,2,74.317,9750.0,0.11,48900.0
2,3,30.885,43.4,0.0041,214.0
3,4,30.884,0.000748,3.88e-05,0.0204
4,5,30.884,4.91e-12,3.09e-09,8.94e-06
