iteration,inputs.1,inputs.2,inputs.3,inputs.7,inputs.8,scale.1,scale.2,rates.k1,rates.k2,rates.k3,irf.center,irf.width,area.1
0.0,-0.6931471805599453,-1.3823023398503531,-1.3783261914707137,-1.5606477482646683,-1.5141277326297755,1.0,1.2,-1.6144504542576446,-0.6931471805599453,0.09531017980432495,0.5,0.1,1.0
0.0,-0.6931471805599453,-1.3823023398503531,-1.3783261914707137,-1.5606477482646683,-1.5141277326297755,1.0,1.2,-1.6144504542576446,-0.6931471805599453,0.09531017980432495,0.5,0.1,1.0
0.0,-0.6931471805599453,-1.3823023604482632,-1.3783261914707137,-1.5606477482646683,-1.5141277326297755,1.0,1.2,-1.6144504542576446,-0.6931471805599453,0.09531017980432495,0.5,0.1,1.0
0.0,-0.6931471805599453,-1.3823023398503531,-1.3783262120093744,-1.5606477482646683,-1.5141277326297755,1.0,1.2,-1.6144504542576446,-0.6931471805599453,0.09531017980432495,0.5,0.1,1.0
0.0,-0.6931471805599453,-1.3823023398503531,-1.3783261914707137,-1.560647771520132,-1.5141277326297755,1.0,1.2,-1.6144504542576446,-0.6931471805599453,0.09531017980432495,0.5,0.1,1.0
0.0,-0.6931471805599453,-1.3823023398503531,-1.3783261914707137,-1.5606477482646683,-1.514127755192037,1.0,1.2,-1.6144504542576446,-0.6931471805599453,0.09531017980432495,0.5,0.1,1.0
0.0,-0.6931471805599453,-1.3823023398503531,-1.3783261914707137,-1.5606477482646683,-1.5141277326297755,1.0,1.2000000178813934,-1.6144504542576446,-0.6931471805599453,0.09531017980432495,0.5,0.1,1.0
0.0,-0.6931471805599453,-1.3823023398503531,-1.3783261914707137,-1.5606477482646683,-1.5141277326297755,1.0,1.2,-1.614450478314831,-0.6931471805599453,0.09531017980432495,0.5,0.1,1.0
0.0,-0.6931471805599453,-1.3823023398503531,-1.3783261914707137,-1.5606477482646683,-1.5141277326297755,1.0,1.2,-1.6144504542576446,-0.6931471954611064,0.09531017980432495,0.5,0.1,1.0
0.0,-0.6931471805599453,-1.3823023398503531,-1.3783261914707137,-1.5606477482646683,-1.5141277326297755,1.0,1.2,-1.6144504542576446,-0.6931471805599453,0.09531019470548614,0.5,0.1,1.0
0.0,-0.6931471805599453,-1.3823023398503531,-1.3783261914707137,-1.5606477482646683,-1.5141277326297755,1.0,1.2,-1.6144504542576446,-0.6931471805599453,0.09531017980432495,0.5000000149011612,0.1,1.0
0.0,-0.6931471805599453,-1.3823023398503531,-1.3783261914707137,-1.5606477482646683,-1.5141277326297755,1.0,1.2,-1.6144504542576446,-0.6931471805599453,0.09531017980432495,0.5,0.1000000149011612,1.0
0.0,-0.6931471805599453,-0.6342707205035857,-1.0042702315666805,-1.3460780005617117,-1.659409779033988,1.0,1.2391306866832215,-1.1513536004315237,-0.1944855670228143,0.09162749747498046,0.40586352588034225,0.12729402862013975,1.0
0.0,-0.6931471805599453,-0.6342707354047469,-1.0042702315666805,-1.3460780005617117,-1.659409779033988,1.0,1.2391306866832215,-1.1513536004315237,-0.1944855670228143,0.09162749747498046,0.40586352588034225,0.12729402862013975,1.0
0.0,-0.6931471805599453,-0.6342707205035857,-1.004270246531473,-1.3460780005617117,-1.659409779033988,1.0,1.2391306866832215,-1.1513536004315237,-0.1944855670228143,0.09162749747498046,0.40586352588034225,0.12729402862013975,1.0
0.0,-0.6931471805599453,-0.6342707205035857,-1.0042702315666805,-1.346078020619837,-1.659409779033988,1.0,1.2391306866832215,-1.1513536004315237,-0.1944855670228143,0.09162749747498046,0.40586352588034225,0.12729402862013975,1.0
0.0,-0.6931471805599453,-0.6342707205035857,-1.0042702315666805,-1.3460780005617117,-1.6594098037611205,1.0,1.2391306866832215,-1.1513536004315237,-0.1944855670228143,0.09162749747498046,0.40586352588034225,0.12729402862013975,1.0
0.0,-0.6931471805599453,-0.6342707205035857,-1.0042702315666805,-1.3460780005617117,-1.659409779033988,1.0,1.2391307051477076,-1.1513536004315237,-0.1944855670228143,0.09162749747498046,0.40586352588034225,0.12729402862013975,1.0
0.0,-0.6931471805599453,-0.6342707205035857,-1.0042702315666805,-1.3460780005617117,-1.659409779033988,1.0,1.2391306866832215,-1.1513536175880292,-0.1944855670228143,0.09162749747498046,0.40586352588034225,0.12729402862013975,1.0
0.0,-0.6931471805599453,-0.6342707205035857,-1.0042702315666805,-1.3460780005617117,-1.659409779033988,1.0,1.2391306866832215,-1.1513536004315237,-0.19448558192397541,0.09162749747498046,0.40586352588034225,0.12729402862013975,1.0
0.0,-0.6931471805599453,-0.6342707205035857,-1.0042702315666805,-1.3460780005617117,-1.659409779033988,1.0,1.2391306866832215,-1.1513536004315237,-0.1944855670228143,0.09162751237614161,0.40586352588034225,0.12729402862013975,1.0
0.0,-0.6931471805599453,-0.6342707205035857,-1.0042702315666805,-1.3460780005617117,-1.659409779033988,1.0,1.2391306866832215,-1.1513536004315237,-0.1944855670228143,0.09162749747498046,0.40586354078150344,0.12729402862013975,1.0
0.0,-0.6931471805599453,-0.6342707205035857,-1.0042702315666805,-1.3460780005617117,-1.659409779033988,1.0,1.2391306866832215,-1.1513536004315237,-0.1944855670228143,0.09162749747498046,0.40586352588034225,0.12729404352130094,1.0
1.0,-0.6931471805599453,-0.5068755630117001,-3.3769537070843505,-1.4299921776580895,-4.417705954618277,1.0,1.2241940492516492,-1.3103276817400222,-0.3207904872965951,-0.07381131693425744,0.3961588482793609,0.0585511152531049,1.0
