iteration,input.1,input.0,irf.center,irf.width,irf.backsweep,kinetic.1,kinetic.2,kinetic.3,kinetic.4,kinetic.5,kinetic.6,kinetic.7,kinetic.8,area.1
0.0,1.0,0.0,-84.0,1.55,13200.0,0.6931471805599453,-2.3025850929940455,-2.8134107167600364,-3.6119184129778077,-2.8824035882469876,-3.2441936328524905,-2.017406150760383,-8.740336742730447,1.0
0.0,1.0,0.0,-84.0,1.55,13200.0,0.6931471805599453,-2.3025850929940455,-2.8134107167600364,-3.6119184129778077,-2.8824035882469876,-3.2441936328524905,-2.017406150760383,-8.740336742730447,1.0
0.0,1.0,0.0,-84.00000125169754,1.55,13200.0,0.6931471805599453,-2.3025850929940455,-2.8134107167600364,-3.6119184129778077,-2.8824035882469876,-3.2441936328524905,-2.017406150760383,-8.740336742730447,1.0
0.0,1.0,0.0,-84.0,1.5500000230967999,13200.0,0.6931471805599453,-2.3025850929940455,-2.8134107167600364,-3.6119184129778077,-2.8824035882469876,-3.2441936328524905,-2.017406150760383,-8.740336742730447,1.0
0.0,1.0,0.0,-84.0,1.55,13200.0,0.6931471805599453,-2.3025850929940455,-2.813410758683123,-3.6119184129778077,-2.8824035882469876,-3.2441936328524905,-2.017406150760383,-8.740336742730447,1.0
0.0,1.0,0.0,-84.0,1.55,13200.0,0.6931471805599453,-2.3025850929940455,-2.8134107167600364,-3.6119184667995863,-2.8824035882469876,-3.2441936328524905,-2.017406150760383,-8.740336742730447,1.0
0.0,1.0,0.0,-84.0,1.55,13200.0,0.6931471805599453,-2.3025850929940455,-2.8134107167600364,-3.6119184129778077,-2.882403631198148,-3.2441936328524905,-2.017406150760383,-8.740336742730447,1.0
0.0,1.0,0.0,-84.0,1.55,13200.0,0.6931471805599453,-2.3025850929940455,-2.8134107167600364,-3.6119184129778077,-2.8824035882469876,-3.244193681194743,-2.017406150760383,-8.740336742730447,1.0
0.0,1.0,0.0,-84.0,1.55,13200.0,0.6931471805599453,-2.3025850929940455,-2.8134107167600364,-3.6119184129778077,-2.8824035882469876,-3.2441936328524905,-2.0174061808220776,-8.740336742730447,1.0
0.0,1.0,0.0,-84.0,1.55,13200.0,0.6931471805599453,-2.3025850929940455,-2.8134107167600364,-3.6119184129778077,-2.8824035882469876,-3.2441936328524905,-2.017406150760383,-8.740336872971614,1.0
0.0,1.0,0.0,-84.30120752837973,1.5799173359151812,13200.0,0.6931471805599453,-2.3025850929940455,-2.7745659648246095,-3.646091649119119,-2.849583108254643,-3.241780089399002,-2.0079534691554106,-8.724510846225375,1.0
0.0,1.0,0.0,-84.30120878456562,1.5799173359151812,13200.0,0.6931471805599453,-2.3025850929940455,-2.7745659648246095,-3.646091649119119,-2.849583108254643,-3.241780089399002,-2.0079534691554106,-8.724510846225375,1.0
0.0,1.0,0.0,-84.30120752837973,1.5799173594577842,13200.0,0.6931471805599453,-2.3025850929940455,-2.7745659648246095,-3.646091649119119,-2.849583108254643,-3.241780089399002,-2.0079534691554106,-8.724510846225375,1.0
