iteration,nfev,cost,cost_reduction,step_norm,optimality
0,1,72591000.0,,,165000000.0
1,2,45309000.0,27300000.0,0.309,14700000.0
2,3,45055000.0,253000.0,0.0534,329000.0
3,4,45054000.0,839.0,0.00736,47500.0
4,5,45054000.0,10.9,0.00132,1970.0
5,6,45054000.0,0.234,0.000187,816.0
