,osc.freq.1,osc.freq.2,osc.freq.3,osc.freq.4,osc.freq.5,osc.freq.6,osc.freq.7,osc.freq.8,osc.freq.9,osc.freq.10,osc.freq.11,osc.freq.12,osc.freq.13,osc.freq.14,osc.freq.15,osc.freq.16,osc.freq.17,osc.freq.18,osc.freq.19,osc.rates.1,osc.rates.2,osc.rates.3,osc.rates.4,osc.rates.5,osc.rates.6,osc.rates.7,osc.rates.8,osc.rates.9,osc.rates.10,osc.rates.11,osc.rates.12,osc.rates.13,osc.rates.14,osc.rates.15,osc.rates.16,osc.rates.17,osc.rates.18,osc.rates.19,j.1,j.0,kinetic.1,kinetic.2,kinetic.3,irf.center,irf.width,irf.dispcenter,irf.disp1,irf.disp2,artifact.CAwidth
0,1524.57239,1192.94092,1158.09082,1003.4494,982.669128,803.801514,721.924377,499.621704,397.539307,294.353363,251.637604,97.3489761,34.5177422,630.095703,1441.5509,2454.68579,1443.96948,1448.87329,1399.99622,1.54321623,2.81070209,1.07494009,1.65555012,5.95444632,0.200000003,0.204981476,0.886999667,0.801029027,1.83298051,1.09177792,0.317949504,2.02649665,19.9859161,-7.97763205,-8.3003521,-6.16778708,-7.08424282,-8.0002079,1.0,0.0,5.96975613,2.64231563,0.110913947,0.0127411373,-5.115995809754082,600.0,-0.0211437792,0.0106876018,-3.9762289472096963
1,1524.57239,1192.94092,1158.09082,1003.4494,982.669128,803.801514,721.924377,499.621704,397.539307,294.353363,251.637604,97.3489761,34.5177422,630.095703,1441.5509,2454.68579,1443.96948,1448.87329,1399.99622,1.54321623,2.81070209,1.07494009,1.65555012,5.95444632,0.200000003,0.204981476,0.886999667,0.801029027,1.83298051,1.09177792,0.317949504,2.02649665,19.9859161,-7.97763205,-8.3003521,-6.16778708,-7.08424282,-8.0002079,1.0,0.0,5.96975613,2.64231563,0.110913947,0.0127411373,-5.115995809754082,600.0,-0.0211437792,0.0106876018,-3.9762289472096963
2,1524.57239,1192.94092,1158.09082,1003.4494,982.669128,803.801514,721.924377,499.621704,397.539307,294.353363,251.637604,97.3489761,34.5177422,630.095703,1441.5509,2454.68579,1443.96948,1448.87329,1399.99622,1.54321623,2.81070209,1.07494009,1.65555012,5.95444632,0.200000003,0.204981476,0.886999667,0.801029027,1.83298051,1.09177792,0.317949504,2.02649665,19.9859161,-7.97763205,-8.3003521,-6.16778708,-7.08424282,-8.0002079,1.0,0.0,5.96975613,2.64231563,0.110913947,0.012741152201161194,-5.115995809754082,600.0,-0.0211437792,0.0106876018,-3.9762289472096963
3,1524.57239,1192.94092,1158.09082,1003.4494,982.669128,803.801514,721.924377,499.621704,397.539307,294.353363,251.637604,97.3489761,34.5177422,630.095703,1441.5509,2454.68579,1443.96948,1448.87329,1399.99622,1.54321623,2.81070209,1.07494009,1.65555012,5.95444632,0.200000003,0.204981476,0.886999667,0.801029027,1.83298051,1.09177792,0.317949504,2.02649665,19.9859161,-7.97763205,-8.3003521,-6.16778708,-7.08424282,-8.0002079,1.0,0.0,5.96975613,2.64231563,0.110913947,0.0127411373,-5.115995809754082,600.0,-0.021143794101161194,0.0106876018,-3.9762289472096963
4,1524.57239,1192.94092,1158.09082,1003.4494,982.669128,803.801514,721.924377,499.621704,397.539307,294.353363,251.637604,97.3489761,34.5177422,630.095703,1441.5509,2454.68579,1443.96948,1448.87329,1399.99622,1.54321623,2.81070209,1.07494009,1.65555012,5.95444632,0.200000003,0.204981476,0.886999667,0.801029027,1.83298051,1.09177792,0.317949504,2.02649665,19.9859161,-7.97763205,-8.3003521,-6.16778708,-7.08424282,-8.0002079,1.0,0.0,5.96975613,2.64231563,0.110913947,0.0127411373,-5.115995809754082,600.0,-0.0211437792,0.010687616701161194,-3.9762289472096963
5,1524.57239,1192.94092,1158.09082,1003.4494,982.669128,803.801514,721.924377,499.621704,397.539307,294.353363,251.637604,97.3489761,34.5177422,630.095703,1441.5509,2454.68579,1443.96948,1448.87329,1399.99622,1.54321623,2.81070209,1.07494009,1.65555012,5.95444632,0.200000003,0.204981476,0.886999667,0.801029027,1.83298051,1.09177792,0.317949504,2.02649665,19.9859161,-7.97763205,-8.3003521,-6.16778708,-7.08424282,-8.0002079,1.0,0.0,5.96975613,2.64231563,0.110913947,0.0127411373,-5.115995809754082,600.0,-0.0211437792,0.0106876018,-3.9762290064601253
6,1524.57239,1192.94092,1158.09082,1003.4494,982.669128,803.801514,721.924377,499.621704,397.539307,294.353363,251.637604,97.3489761,34.5177422,630.095703,1441.5509,2454.68579,1443.96948,1448.87329,1399.99622,1.54321623,2.81070209,1.07494009,1.65555012,5.95444632,0.200000003,0.204981476,0.886999667,0.801029027,1.83298051,1.09177792,0.317949504,2.02649665,19.9859161,-7.97763205,-8.3003521,-6.16778708,-7.08424282,-8.0002079,1.0,0.0,5.96975613,2.64231563,0.110913947,0.0127411373,-5.115995809754082,600.0,-0.0211437792,0.0106876018,-3.9762289472096963
