iteration,inputs.s1,inputs.s2,irf.center,irf.width,rates.k1,rates.k2,area.1
0.0,0.5,0.6810942515545867,0.40000209675043924,0.0599784887604614,0.25003115422019956,0.9999470787274889,1.0
0.0,0.5,0.6810942515545867,0.40000209675043924,0.0599784887604614,0.25003115422019956,0.9999470787274889,1.0
0.0,0.5,0.6810942664557479,0.40000209675043924,0.0599784887604614,0.25003115422019956,0.9999470787274889,1.0
0.0,0.5,0.6810942515545867,0.40000211165160043,0.0599784887604614,0.25003115422019956,0.9999470787274889,1.0
0.0,0.5,0.6810942515545867,0.40000209675043924,0.05997850366162259,0.25003115422019956,0.9999470787274889,1.0
0.0,0.5,0.6810942515545867,0.40000209675043924,0.0599784887604614,0.25003116912136075,0.9999470787274889,1.0
0.0,0.5,0.6810942515545867,0.40000209675043924,0.0599784887604614,0.25003115422019956,0.9999470936286501,1.0
0.0,0.5,0.6810942443662057,0.4000020967383185,0.05997848875461514,0.25003115583165414,0.9999470796116373,1.0
0.0,0.5,0.6810942592673669,0.4000020967383185,0.05997848875461514,0.25003115583165414,0.9999470796116373,1.0
0.0,0.5,0.6810942443662057,0.4000021116394797,0.05997848875461514,0.25003115583165414,0.9999470796116373,1.0
0.0,0.5,0.6810942443662057,0.4000020967383185,0.05997850365577633,0.25003115583165414,0.9999470796116373,1.0
0.0,0.5,0.6810942443662057,0.4000020967383185,0.05997848875461514,0.25003117073281533,0.9999470796116373,1.0
0.0,0.5,0.6810942443662057,0.4000020967383185,0.05997848875461514,0.25003115583165414,0.9999470945127985,1.0
1.0,0.5,0.6810942443662057,0.4000020967383185,0.05997848875461514,0.25003115583165414,0.9999470796116373,1.0
