label,value,expression,minimum,maximum,non-negative,vary,standard-error
inputs.s1,0.5,None,-inf,inf,False,False,None
inputs.s2,0.6810942516450328,None,-inf,inf,False,True,0.0002688991996788305
irf.center,0.4000020967500941,None,-inf,inf,False,True,5.6028600757152874e-06
irf.width,0.05997848876040979,None,-inf,inf,False,True,7.531090378581774e-06
rates.k1,0.25003115422231653,None,-inf,inf,False,True,4.612231412111097e-05
rates.k2,0.9999470787091811,None,-inf,inf,False,True,0.00015503031670499763
area.1,1.0,None,-inf,inf,False,False,None
