iteration,nfev,cost,cost_reduction,step_norm,optimality
0,1,21946.0,,,553000.0
1,2,200.39,21700.0,0.194,38200.0
2,3,30.888,170.0,0.0215,157.0
3,4,30.884,0.00353,0.00014,0.0254
4,6,30.884,1.29e-11,8.9e-09,0.00239
