iteration,nfev,cost,cost_reduction,step_norm,optimality
0,1,6376500.0,,,120000000.0
1,4,5257000.0,1120000.0,0.163,70600000.0
2,5,5121000.0,136000.0,0.163,54200000.0
3,7,4904400.0,217000.0,0.0409,4240000.0
4,10,4903300.0,1120.0,0.00511,178000.0
5,11,4902600.0,670.0,0.00511,204000.0
6,12,4901800.0,769.0,0.0102,1160000.0
7,18,4901800.0,0.907,9.98e-06,211000.0
8,20,4901800.0,0.000598,6.24e-07,664000.0
9,21,4901800.0,0.00499,1.56e-07,227000.0
10,23,4901800.0,0.0,0.0,227000.0
