iteration,inputs.s1,inputs.s2,rates.k1,rates.k2,rates.k3,rates.k4,rates.k5,rates.k6,area.1,rel.r1,scale.1,scale.2,irf.center,irf.width
0.0,0.0,1.0,-1.5606477482646683,-1.6321948995567166,-2.441847160327553,-1.3205066205818874,-5.05145728861651,-13.553146293496782,3.4634,1.0,1.0,0.862,-0.00100000005,0.000415255752
0.0,0.0,1.0,-1.5606477482646683,-1.6321948995567166,-2.441847160327553,-1.3205066205818874,-5.05145728861651,-13.553146293496782,3.4634,1.0,1.0,0.862,-0.00100000005,0.000415255752
0.0,0.0,1.0,-1.560647771520132,-1.6321948995567166,-2.441847160327553,-1.3205066205818874,-5.05145728861651,-13.553146293496782,3.4634,1.0,1.0,0.862,-0.00100000005,0.000415255752
0.0,0.0,1.0,-1.5606477482646683,-1.632194923878316,-2.441847160327553,-1.3205066205818874,-5.05145728861651,-13.553146293496782,3.4634,1.0,1.0,0.862,-0.00100000005,0.000415255752
0.0,0.0,1.0,-1.5606477482646683,-1.6321948995567166,-2.441847160327553,-1.3205066402589694,-5.05145728861651,-13.553146293496782,3.4634,1.0,1.0,0.862,-0.00100000005,0.000415255752
0.0,0.0,1.0,-1.5606477482646683,-1.6321948995567166,-2.441847160327553,-1.3205066205818874,-5.05145736388909,-13.553146293496782,3.4634,1.0,1.0,0.862,-0.00100000005,0.000415255752
0.0,0.0,1.0,-1.5606477482646683,-1.6321948995567166,-2.441847160327553,-1.3205066205818874,-5.05145728861651,-13.5531464954544,3.4634,1.0,1.0,0.862,-0.00100000005,0.000415255752
0.0,0.0,1.0,-1.5606477482646683,-1.6321948995567166,-2.441847160327553,-1.3205066205818874,-5.05145728861651,-13.553146293496782,3.4634,1.0,1.0,0.8620000149011612,-0.00100000005,0.000415255752
0.0,0.0,1.0,-2.336148138999805,-9.25068920360327,-2.441847160327553,4.609974464190247,-5.360124780069744,-13.59623586371445,3.4634,1.0,1.0,11.947164137979364,-0.00100000005,0.000415255752
0.0,0.0,1.0,-1.783630745374504,-4.583233975878043,-2.441847160327553,0.8680481250085046,-5.035057735661525,-13.574245990908619,3.4634,1.0,1.0,0.8369581760974376,-0.00100000005,0.000415255752
0.0,0.0,1.0,-1.533626195246891,-2.4204137842254907,-2.441847160327553,-0.8589342798580604,-5.02877977958752,-13.451341401479581,3.4634,1.0,1.0,0.8320846334347045,-0.00100000005,0.000415255752
0.0,0.0,1.0,-1.4688959158752812,-1.8417686998869476,-2.441847160327553,-1.3182637959262637,-5.046639167895665,-13.530279162973684,3.4634,1.0,1.0,0.8559274852177036,-0.00100000005,0.000415255752
