iteration,rates.k1,rates.k2,rates.k3,inputs.1,inputs.2,inputs.3,inputs.7,inputs.8,inputs.9,inputs.10,irf.center,irf.width,scale.1,scale.2,scale.3,pen.1,area.1
0.0,-2.995732273553991,0.6931471805599453,-0.6931471805599453,-0.6931471805599453,-1.8263509139976741,-1.1679623668029029,-1.1332037334377287,-0.8794767587514388,-1.4188175528254507,-1.0133524447172864,0.4,0.05998,1.0,1.27,1.13,1.0,1.0
0.0,-2.995732273553991,0.6931471805599453,-0.6931471805599453,-0.6931471805599453,-1.8263509139976741,-1.1679623668029029,-1.1332037334377287,-0.8794767587514388,-1.4188175528254507,-1.0133524447172864,0.4,0.05998,1.0,1.27,1.13,1.0,1.0
0.0,-2.9957323181938804,0.6931471805599453,-0.6931471805599453,-0.6931471805599453,-1.8263509139976741,-1.1679623668029029,-1.1332037334377287,-0.8794767587514388,-1.4188175528254507,-1.0133524447172864,0.4,0.05998,1.0,1.27,1.13,1.0,1.0
0.0,-2.995732273553991,0.6931471954611064,-0.6931471805599453,-0.6931471805599453,-1.8263509139976741,-1.1679623668029029,-1.1332037334377287,-0.8794767587514388,-1.4188175528254507,-1.0133524447172864,0.4,0.05998,1.0,1.27,1.13,1.0,1.0
0.0,-2.995732273553991,0.6931471805599453,-0.6931471954611065,-0.6931471805599453,-1.8263509139976741,-1.1679623668029029,-1.1332037334377287,-0.8794767587514388,-1.4188175528254507,-1.0133524447172864,0.4,0.05998,1.0,1.27,1.13,1.0,1.0
0.0,-2.995732273553991,0.6931471805599453,-0.6931471805599453,-0.6931471805599453,-1.8263509412124235,-1.1679623668029029,-1.1332037334377287,-0.8794767587514388,-1.4188175528254507,-1.0133524447172864,0.4,0.05998,1.0,1.27,1.13,1.0,1.0
0.0,-2.995732273553991,0.6931471805599453,-0.6931471805599453,-0.6931471805599453,-1.8263509139976741,-1.1679623842068985,-1.1332037334377287,-0.8794767587514388,-1.4188175528254507,-1.0133524447172864,0.4,0.05998,1.0,1.27,1.13,1.0,1.0
0.0,-2.995732273553991,0.6931471805599453,-0.6931471805599453,-0.6931471805599453,-1.8263509139976741,-1.1679623668029029,-1.1332037503237802,-0.8794767587514388,-1.4188175528254507,-1.0133524447172864,0.4,0.05998,1.0,1.27,1.13,1.0,1.0
0.0,-2.995732273553991,0.6931471805599453,-0.6931471805599453,-0.6931471805599453,-1.8263509139976741,-1.1679623668029029,-1.1332037334377287,-0.8794767736526001,-1.4188175528254507,-1.0133524447172864,0.4,0.05998,1.0,1.27,1.13,1.0,1.0
0.0,-2.995732273553991,0.6931471805599453,-0.6931471805599453,-0.6931471805599453,-1.8263509139976741,-1.1679623668029029,-1.1332037334377287,-0.8794767587514388,-1.4188175739674798,-1.0133524447172864,0.4,0.05998,1.0,1.27,1.13,1.0,1.0
0.0,-2.995732273553991,0.6931471805599453,-0.6931471805599453,-0.6931471805599453,-1.8263509139976741,-1.1679623668029029,-1.1332037334377287,-0.8794767587514388,-1.4188175528254507,-1.0133524598174144,0.4,0.05998,1.0,1.27,1.13,1.0,1.0
0.0,-2.995732273553991,0.6931471805599453,-0.6931471805599453,-0.6931471805599453,-1.8263509139976741,-1.1679623668029029,-1.1332037334377287,-0.8794767587514388,-1.4188175528254507,-1.0133524447172864,0.4000000149011612,0.05998,1.0,1.27,1.13,1.0,1.0
0.0,-2.995732273553991,0.6931471805599453,-0.6931471805599453,-0.6931471805599453,-1.8263509139976741,-1.1679623668029029,-1.1332037334377287,-0.8794767587514388,-1.4188175528254507,-1.0133524447172864,0.4,0.05998001490116119,1.0,1.27,1.13,1.0,1.0
0.0,-2.995732273553991,0.6931471805599453,-0.6931471805599453,-0.6931471805599453,-1.8263509139976741,-1.1679623668029029,-1.1332037334377287,-0.8794767587514388,-1.4188175528254507,-1.0133524447172864,0.4,0.05998,1.0,1.2700000189244747,1.13,1.0,1.0
0.0,-2.995732273553991,0.6931471805599453,-0.6931471805599453,-0.6931471805599453,-1.8263509139976741,-1.1679623668029029,-1.1332037334377287,-0.8794767587514388,-1.4188175528254507,-1.0133524447172864,0.4,0.05998,1.0,1.27,1.130000016838312,1.0,1.0
0.0,-2.995929572094441,0.6918563917526687,-0.6938557064769837,-0.6931471805599453,-1.8246905554713422,-1.1666391292084024,-1.131606815631501,-0.879179236263853,-1.4192686795085032,-1.012625379065904,0.4000083257566007,0.059978570016953815,1.0,1.2723606993692766,1.1361699874697113,1.0,1.0
0.0,-2.9959296167372704,0.6918563917526687,-0.6938557064769837,-0.6931471805599453,-1.8246905554713422,-1.1666391292084024,-1.131606815631501,-0.879179236263853,-1.4192686795085032,-1.012625379065904,0.4000083257566007,0.059978570016953815,1.0,1.2723606993692766,1.1361699874697113,1.0,1.0
