iteration,nfev,cost,cost_reduction,step_norm,optimality
0,1,519.53,,,61300.0
1,2,338.96,181.0,0.00733,660.0
2,3,338.96,0.00303,0.000279,0.0543
3,4,338.96,6.82e-13,9.08e-08,0.0732
4,5,338.96,2.66e-11,2.27e-08,0.00677
