iteration,rates.k1,rates.k2,rates.k3,inputs.1,inputs.2,inputs.3,inputs.7,inputs.8,inputs.9,inputs.10,irf.center1,irf.center2,irf.center3,irf.width,irf.dispc,irf.disp1,irf.disp2,scale.1,scale.2,scale.3,pen.1,area.1
0.0,-2.997734276224664,0.8372475245337022,-0.6753072624316143,-0.6931471805599453,-1.7147984280919266,-1.194022473472768,-0.9493305859523552,-0.9314043696842031,-1.2447947988461912,-1.04412410338404,0.4,0.41,0.42,0.05998,500.0,0.01,0.001,1.0,1.30557,1.1635,1.0,1.0
0.0,-2.997734276224664,0.8372475245337022,-0.6753072624316143,-0.6931471805599453,-1.7147984280919266,-1.194022473472768,-0.9493305859523552,-0.9314043696842031,-1.2447947988461912,-1.04412410338404,0.4,0.41,0.42,0.05998,500.0,0.01,0.001,1.0,1.30557,1.1635,1.0,1.0
0.0,-2.9977343208943856,0.8372475245337022,-0.6753072624316143,-0.6931471805599453,-1.7147984280919266,-1.194022473472768,-0.9493305859523552,-0.9314043696842031,-1.2447947988461912,-1.04412410338404,0.4,0.41,0.42,0.05998,500.0,0.01,0.001,1.0,1.30557,1.1635,1.0,1.0
0.0,-2.997734276224664,0.8372475394348635,-0.6753072624316143,-0.6931471805599453,-1.7147984280919266,-1.194022473472768,-0.9493305859523552,-0.9314043696842031,-1.2447947988461912,-1.04412410338404,0.4,0.41,0.42,0.05998,500.0,0.01,0.001,1.0,1.30557,1.1635,1.0,1.0
0.0,-2.997734276224664,0.8372475245337022,-0.6753072773327755,-0.6931471805599453,-1.7147984280919266,-1.194022473472768,-0.9493305859523552,-0.9314043696842031,-1.2447947988461912,-1.04412410338404,0.4,0.41,0.42,0.05998,500.0,0.01,0.001,1.0,1.30557,1.1635,1.0,1.0
0.0,-2.997734276224664,0.8372475245337022,-0.6753072624316143,-0.6931471805599453,-1.7147984536444143,-1.194022473472768,-0.9493305859523552,-0.9314043696842031,-1.2447947988461912,-1.04412410338404,0.4,0.41,0.42,0.05998,500.0,0.01,0.001,1.0,1.30557,1.1635,1.0,1.0
0.0,-2.997734276224664,0.8372475245337022,-0.6753072624316143,-0.6931471805599453,-1.7147984280919266,-1.1940224912650894,-0.9493305859523552,-0.9314043696842031,-1.2447947988461912,-1.04412410338404,0.4,0.41,0.42,0.05998,500.0,0.01,0.001,1.0,1.30557,1.1635,1.0,1.0
0.0,-2.997734276224664,0.8372475245337022,-0.6753072624316143,-0.6931471805599453,-1.7147984280919266,-1.194022473472768,-0.9493306008535165,-0.9314043696842031,-1.2447947988461912,-1.04412410338404,0.4,0.41,0.42,0.05998,500.0,0.01,0.001,1.0,1.30557,1.1635,1.0,1.0
0.0,-2.997734276224664,0.8372475245337022,-0.6753072624316143,-0.6931471805599453,-1.7147984280919266,-1.194022473472768,-0.9493305859523552,-0.9314043845853645,-1.2447947988461912,-1.04412410338404,0.4,0.41,0.42,0.05998,500.0,0.01,0.001,1.0,1.30557,1.1635,1.0,1.0
0.0,-2.997734276224664,0.8372475245337022,-0.6753072624316143,-0.6931471805599453,-1.7147984280919266,-1.194022473472768,-0.9493305859523552,-0.9314043696842031,-1.2447948173950791,-1.04412410338404,0.4,0.41,0.42,0.05998,500.0,0.01,0.001,1.0,1.30557,1.1635,1.0,1.0
