iteration,nfev,cost,cost_reduction,step_norm,optimality
0,1,8.2822,,,8540.0
1,2,8.0162e-05,8.28,0.00309,9.46
2,3,7.3664e-05,6.5e-06,2.23e-05,0.000161
3,4,7.3664e-05,0.0,0.0,0.000161
